城市/區域,類別,店名,招牌必點/特色,地址/鄰近地標,Google Maps 連結,營業時間/公休日,來源/備註
諾曼第 (聖米歇爾山),🥩 必吃法餐,La Ferme Saint-Michel,招牌鹽沼羊兩吃(炭烤羊排+燉羊肩)・在地蘋果酒,4 Route de la Caserne,https://www.google.com/maps/search/?api=1&query=La+Ferme+Saint-Michel+Mont+Saint-Michel,12:00-14:30 19:00-21:30,✅已訂位 (9/26 14:00)・道閘碼【645504】・停餐廳私人停車場・獲贈VoiceMap導覽碼【0B6CBA60】
諾曼第 (聖米歇爾山),🥩 必吃法餐,Restaurant Le Pré Salé,國寶級 AOP 鹽沼草飼羊肉 (Agneau de Pré-Salé),Route du Mont Saint-Michel (Mercure旁),https://www.google.com/maps/search/?api=1&query=Restaurant+Le+Pre+Sale+Mont+Saint-Michel,12:00-14:00 19:00-21:30,9/25 晚餐推薦・就在 Mercure 飯店旁
布列塔尼 (聖馬洛),🥐 甜點烘焙,Maison Georges Larnicol,Kouign-amann 焦糖奶油酥・法式蛋白霜・精緻手工黑巧克力,6 Rue Saint-Vincent,https://www.google.com/maps/search/?api=1&query=Maison+Georges+Larnicol+Saint-Malo,09:00-19:30 (無休),聖馬洛古城必買・MOF 法國最佳工藝師名店
布列塔尼 (聖馬洛),🥞 傳統薄餅,Crêperie Le Corps de Garde,正宗布列塔尼蕎麥鹹薄餅 (Galette)・海景第一排,Montée Notre Dame (城牆邊),https://www.google.com/maps/search/?api=1&query=Creperie+Le+Corps+de+Garde+Saint-Malo,11:30-22:00,坐在古城牆邊看英吉利海峽吃薄餅配蘋果酒
布列塔尼 (康卡勒),🦪 海鮮生蠔,Marché aux Huîtres Cancale,產地現開生蠔・海膽・生蠔殼直接丟海灘,Place de la Chapelle,https://www.google.com/maps/search/?api=1&query=Marche+aux+Huitres+Cancale,09:00-19:00 (天天有),坐在堤防邊看海現擠檸檬吃生蠔・超平價神級享受
諾曼第 (盧昂),🥩 百年法餐,La Couronne 1345,全法最古老小酒館(創於1345)・傳統諾曼第燉肉・蘋果白蘭地,31 Place du Vieux-Marché,https://www.google.com/maps/search/?api=1&query=La+Couronne+Rouen,12:00-14:00 19:00-22:00,✅已訂位 (9/27 20:00/TheFork ID: 790B-8602-147D-CA61)・聖女貞德舊市集廣場旁・名廚茱莉亞柴爾德啟蒙餐廳
諾曼第 (盧昂),🍬 百年甜點,Confiserie Jeanne d'Arc,盧昂特產「蘋果糖 (Sucre de Pomme)」・焦糖奶油糖,43 Rue Rollon,https://www.google.com/maps/search/?api=1&query=Confiserie+Jeanne+d+Arc+Rouen,09:30-19:00 (週日一休),諾曼第歷史最悠久蘋果糖老店・伴手禮首選
諾曼第 (吉維尼),🍷 百年花園,Restaurant Baudy,蘋果酒燉豬肉・法式鹹派・百年玫瑰花園露天座,81 Rue Claude Monet,https://www.google.com/maps/search/?api=1&query=Restaurant+Baudy+Giverny,11:45-15:00 19:00-21:30 (週一休),塞尚/雷諾瓦/羅丹等印象派大師當年在吉維尼聚會老店
諾曼第 (韋爾農),📸 拍照秘境,Vieux Moulin de Vernon,建在中世紀斷橋殘墩上的木造懸空古磨坊,Rue Pierre Bonnard,https://www.google.com/maps/search/?api=1&query=Vieux+Moulin+de+Vernon,戶外全天開放,莫內多幅畫作本尊・塞納河畔絕美倒影機位
巴黎 4 區 (瑪黑),☕ 咖啡甜點,Café Kitsuné Palais Royal,狐狸造型酥餅・精品抹茶拿鐵・迴廊花園漫步,51 Galerie de Montpensier,https://www.google.com/maps/search/?api=1&query=Cafe+Kitsune+Palais+Royal,09:30-19:00,巴黎最美皇家宮殿花園迴廊下喝咖啡
